size_sqft,num_bedrooms,num_bathrooms,price
1727.59323167411,5,3,304547.5867962951
2151.358649251415,3,3,276232.7182334157
1348.3489036050053,5,3,271327.2071686671
1418.5678559590554,3,2,376058.5847552739
1267.3276344205424,4,3,382979.2506716207
1094.0973077228532,4,2,237167.39928515544
1240.2889819735972,5,3,154424.15604362695
1010.4238932950974,5,3,383802.49097425584
1513.6333873036904,4,1,246271.97488687176
1192.0107075765432,5,2,332764.6903075844
1593.514364716299,3,1,226059.68761830695
877.6417415185491,3,1,397865.29911558033
1632.352092885783,4,1,472620.0737180917
1833.4115846435698,2,2,330968.4145523202
702.5057429714178,3,2,314353.841092429
1649.622627939029,5,3,300671.62548859615
1991.0675969893168,2,1,366907.9586787747
1016.1435925235178,2,3,354061.2050560751
2169.0289547350812,3,1,380209.9072131719
1667.6076037464181,3,2,282325.00864411506
1217.9952576966366,2,2,340407.0623842787
1477.6923689369175,2,2,287451.91599762824
1723.330765008689,4,1,256537.06111579674
1530.4021565649646,5,2,317539.0747397922
1715.5023969785477,4,1,264649.2361773751
1131.7305627682535,3,3,390423.6198645553
1567.744329614431,4,1,268284.7773190506
934.5142012380079,4,3,341812.7564412416
1455.50957546052,4,1,283794.66207441664
1138.436943414084,4,3,336623.76502625074
1205.7880229640934,5,2,288560.2055926786
1994.437270084175,5,3,244567.32350854774
1936.5240482377076,2,2,349026.3644571107
1743.6552483628707,3,2,305875.0626852067
1063.0748941309685,4,3,337159.0964433476
1373.4366201220791,2,1,294269.42386217375
1985.2390799916734,2,1,240323.8091738929
1556.686765455962,2,1,384990.7158233754
2427.7318159926776,5,1,364205.4653264653
1657.3271357577487,4,1,285982.3414668054
1576.8196465960127,4,2,324186.75280992786
1376.3534143189995,3,1,382521.1689897762
1553.4163619129129,4,2,292577.6998482562
1439.0120654477823,4,2,301886.9296885669
1783.2434706754361,2,2,334617.95000044245
1882.6809267178337,3,3,292454.53618672484
1185.6042157968202,4,3,371425.51981922134
967.5068185768888,5,2,309865.95318155375
765.5178507586813,4,3,272957.84750036156
1703.1965307650175,2,1,356518.3297924397
1058.6533575304506,5,1,251472.1610341192
638.8437628190069,2,2,440892.7136674528
1655.4314418123856,4,1,414949.78181481216
2497.199806973116,5,2,350809.7286152609
1497.5716353840426,3,2,345759.8613091941
1835.3963097806568,3,1,342946.4850691579
1532.731743419026,5,3,290654.31284486555
1460.444138723543,5,1,337838.57874085056
1867.6305931951074,2,1,264612.0433725291
1383.8901823245394,5,2,350229.10510641086
1606.9569256287612,2,2,372070.8165818777
1628.6791224784054,4,2,297314.83394099993
1232.7638185427804,2,2,284293.89235071687
1896.8169398146092,5,3,247251.3785211254
1430.0160973218365,5,3,407477.31401394145
1197.701936202862,4,3,289060.15796946734
1714.6039374281613,5,2,308075.6578390026
1140.612807283585,5,2,338009.33509974356
1511.2724629476513,3,2,336932.4585733961
1496.3524013423187,3,3,364793.6057408642
1934.3582263326311,4,2,297240.20480970026
1689.879293151981,2,1,251679.9236917452
1489.9892165019423,3,1,241180.08146166103
1827.1065196801148,2,2,285244.6860294292
2056.0830196069255,5,1,262888.97151952254
1723.1241225407448,3,1,301782.9976815345
1504.1410479373521,4,3,398454.728645599
975.2655070599362,4,2,297363.30764697865
1073.9545347698509,4,2,297340.9483199266
1377.910118258133,3,3,319016.0734246527
1256.1951191362868,2,1,295662.500527276
1425.2114788058216,5,1,315956.52585690835
1522.6599699588428,2,2,352452.1533488808
1711.8771017426923,2,1,373085.0632857988
1471.8004887763634,5,3,380192.7919843414
1694.6006575304807,5,3,443411.1332438612
1525.7897659240482,3,2,354161.56677034625
709.8133734584515,3,3,454068.73408095853
1124.2658424724982,3,3,273411.0915164214
